year_starting_steady_decade,name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1960,Paris,0.4666666666666667,0.5539568345323741,0.5661764705882353,0.5271317829457365,0.48905109489051096,0.528,0.4020618556701031,0.4336283185840708,0.41509433962264153,0.472,0.3442622950819672,0.3081081081081081,0.3055555555555556,0.45918367346938777,0.40476190476190477,0.3008849557522124,0.3902439024390244,0.390625,0.45535714285714285,0.38666666666666666,0.37714285714285717,0.43617021276595747,0.46382978723404256,0.5190476190476191,0.5229007633587787,0.5862068965517241,0.6735159817351598,0.6468172484599589,0.6220806794055201,0.6147403685092128,0.6523031203566122,0.62002567394095,0.6579601990049752,0.680622009569378,0.6995884773662552,0.6991150442477876,0.6823899371069182,0.7350299401197605,0.7356770833333334,0.7671601615074024,0.7471264367816092,0.7909356725146199,0.8281879194630872,0.9081632653061225,0.9572573463935886,0.9494949494949495,0.9354120267260579,0.92497320471597,0.8998682476943346,0.9268585131894485,0.9263456090651558,0.9262948207171314,0.9312252964426877,0.9212893553223388
1960,Rene,0.5604192355117139,0.5499359795134443,0.5558252427184466,0.5339869281045752,0.45734265734265733,0.46008708272859217,0.46513470681458,0.44363636363636366,0.486231884057971,0.4505050505050505,0.38673253352152437,0.4020537124802528,0.37346437346437344,0.37281910009182734,0.3208606173994387,0.32051282051282054,0.28586278586278585,0.29897959183673467,0.296794208893485,0.2605128205128205,0.28115015974440893,0.298728813559322,0.2977346278317152,0.21414728682170542,0.2135523613963039,0.20801733477789816,0.2089864158829676,0.20584926884139482,0.18043478260869567,0.18342541436464088,0.1483739837398374,0.13575129533678756,0.14773980154355015,0.12868949232585597,0.13789107763615296,0.12185929648241206,0.12398921832884097,0.1386271870794078,0.11925287356321838,0.11337209302325581,0.11866666666666667,0.09908536585365854,0.09006211180124224,0.07248764415156507,0.06829268292682927,0.08231173380035026,0.05595667870036101,0.05420560747663551,0.06827309236947791,0.048723897911832945,0.04197530864197531,0.07435897435897436,0.04294478527607362,0.07096774193548387
2000,Jessie,0.35294117647058826,0.3307475317348378,0.3224873463485177,0.3075153374233129,0.31136363636363634,0.3508902077151335,0.34517766497461927,0.3188034188034188,0.30821256038647343,0.29545454545454547,0.31514581373471307,0.3205357142857143,0.2957089552238806,0.318552036199095,0.32339656729900634,0.33676975945017185,0.352755905511811,0.34225352112676055,0.4183474300585556,0.41274397244546496,0.4256544502617801,0.49167005282405524,0.4624090541632983,0.4333821376281113,0.47509578544061304,0.49531459170013387,0.5334168755221387,0.51237935375577,0.5173951828724354,0.503288031565103,0.47068747363981445,0.48712352684417287,0.5114325711619225,0.5059360730593607,0.5605180884323359,0.5575698187163155,0.5283324338909876,0.5291170945522855,0.5367965367965368,0.5598484848484848,0.5742811501597445,0.5070656691604323,0.5086661642803316,0.4959807073954984,0.5157179269328802,0.4621695533272562,0.49207828518173347,0.4819863680623174,0.503061224489796,0.47776510832383123,0.508495145631068,0.550744248985115,0.5688775510204082,0.5984943538268507
2000,Justice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25925925925925924,0.2692307692307692,0.2,0.2631578947368421,0.28,0.18421052631578946,0.21212121212121213,0.1794871794871795,0.23076923076923078,0.1875,0.09803921568627451,0.17647058823529413,0.18181818181818182,0.13513513513513514,0.30612244897959184,0.2641509433962264,0.36666666666666664,0.375,0.21176470588235294,0.22556390977443608,0.18,0.39503386004514673,0.6052188552188552,0.6354799513973268,0.5100710900473934,0.45883940620782726,0.43646805455850685,0.44003378378378377,0.4210061782877317,0.46522064323111445,0.4662379421221865,0.5,0.4758454106280193,0.4734982332155477,0.4308300395256917,0.4146919431279621,0.4581320450885668,0.452970297029703,0.4827586206896552,0.5214489990467112,0.5358455882352942,0.5454545454545454
2000,Jackie,0.6858650757228086,0.7636592379583034,0.7567510990161189,0.7270381836945304,0.7671330329618212,0.7342342342342343,0.7115526122148639,0.6751004016064257,0.6876083188908145,0.6470588235294118,0.6454802259887006,0.6235897435897436,0.6029411764705882,0.5940089228808159,0.6062416998671979,0.601763907734057,0.56656346749226,0.604261796042618,0.6243611584327087,0.6294326241134752,0.5980650835532102,0.6287262872628726,0.6681376875551632,0.6716417910447762,0.6554621848739496,0.6621468926553672,0.6452442159383034,0.6964933494558646,0.6782051282051282,0.6510416666666666,0.6345885634588564,0.5993836671802774,0.6280276816608996,0.6125954198473282,0.5692640692640693,0.5939849624060151,0.5875831485587583,0.49742268041237114,0.4625668449197861,0.49056603773584906,0.41642228739002934,0.43086816720257237,0.5256410256410257,0.4787234042553192,0.5543071161048689,0.5267489711934157,0.4978902953586498,0.5475285171102662,0.5643153526970954,0.5617021276595745,0.5865921787709497,0.6164383561643836,0.4597156398104265,0.6054421768707483
2000,Devyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.6818181818181818,0.6923076923076923,0.6,0.6097560975609756,0.5849056603773585,0.618421052631579,0.6078431372549019,0.6148148148148148,0.6995708154506438,0.7223880597014926,0.7061855670103093,0.588495575221239,0.5808656036446469,0.48747591522157996,0.47309833024118736,0.5018050541516246,0.4922813036020583,0.4900459418070444,0.5045180722891566,0.48417721518987344,0.46577946768060835,0.46534653465346537,0.46459412780656306,0.5141843971631206,0.46476190476190476,0.5353159851301115,0.4899193548387097,0.5290697674418605,0.5392781316348195,0.5783132530120482,0.5976470588235294,0.6666666666666666
2000,Armani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15384615384615385,0.22988505747126436,0.23076923076923078,0.35384615384615387,0.33678756476683935,0.37554585152838427,0.448,0.45147679324894513,0.46311475409836067,0.508,0.5213675213675214,0.51010101010101,0.5276595744680851,0.4875717017208413,0.46611909650924027,0.47680890538033394,0.47088186356073214,0.4198473282442748,0.4680337756332931,0.43550295857988164,0.38372093023255816,0.4236343366778149,0.3894230769230769,0.4225206611570248
2000,Riley,0.05263157894736842,0.05555555555555555,0.05084745762711865,0.05714285714285714,0.05357142857142857,0.075,0.06060606060606061,0.0759493670886076,0.050505050505050504,0.05952380952380952,0.06097560975609756,0.04950495049504951,0.05555555555555555,0.08163265306122448,0.08602150537634409,0.08547008547008547,0.061946902654867256,0.08527131782945736,0.07222222222222222,0.0847457627118644,0.09392265193370165,0.11707317073170732,0.15021459227467812,0.13740458015267176,0.08029197080291971,0.1590909090909091,0.19560878243512975,0.15752212389380532,0.1867283950617284,0.19881656804733727,0.22666666666666666,0.24804177545691905,0.2848525469168901,0.2863070539419087,0.3223740392826644,0.3356425355039834,0.3242022027675798,0.3705843145967563,0.3838445807770961,0.43771298750473303,0.4273275284661755,0.4547355841051688,0.49656575934876623,0.5099783601827362,0.547964796479648,0.5547611309717257,0.5350561321753866,0.5675204359673025,0.5827432733158001,0.598342365317182,0.6033580462276493,0.5930383480825959,0.6261231931241047,0.6594914570160096
1970,Marion,0.6001478196600147,0.5713196033562167,0.612212529738303,0.6160267111853088,0.6147332768839966,0.5685685685685685,0.6047565118912798,0.573729863692689,0.5429638854296388,0.5477453580901857,0.5574963609898108,0.5106685633001422,0.49409780775716694,0.4734042553191489,0.46693386773547096,0.4874476987447699,0.44212962962962965,0.5,0.4717948717948718,0.44471153846153844,0.4796954314720812,0.5301507537688442,0.5355329949238579,0.5612903225806452,0.4940119760479042,0.5202492211838006,0.49846153846153846,0.5226480836236934,0.5102040816326531,0.5049833887043189,0.5496688741721855,0.5231788079470199,0.5723684210526315,0.5370370370370371,0.5885167464114832,0.5454545454545454,0.4956896551724138,0.49224806201550386,0.484375,0.4880382775119617,0.5802469135802469,0.5309734513274337,0.52,0.4296028880866426,0.4497991967871486,0.3828996282527881,0.38492063492063494,0.4362934362934363,0.4067796610169492,0.48034934497816595,0.44144144144144143,0.5211267605633803,0.5023041474654378,0.5897435897435898
1980,Marion,0.6001478196600147,0.5713196033562167,0.612212529738303,0.6160267111853088,0.6147332768839966,0.5685685685685685,0.6047565118912798,0.573729863692689,0.5429638854296388,0.5477453580901857,0.5574963609898108,0.5106685633001422,0.49409780775716694,0.4734042553191489,0.46693386773547096,0.4874476987447699,0.44212962962962965,0.5,0.4717948717948718,0.44471153846153844,0.4796954314720812,0.5301507537688442,0.5355329949238579,0.5612903225806452,0.4940119760479042,0.5202492211838006,0.49846153846153846,0.5226480836236934,0.5102040816326531,0.5049833887043189,0.5496688741721855,0.5231788079470199,0.5723684210526315,0.5370370370370371,0.5885167464114832,0.5454545454545454,0.4956896551724138,0.49224806201550386,0.484375,0.4880382775119617,0.5802469135802469,0.5309734513274337,0.52,0.4296028880866426,0.4497991967871486,0.3828996282527881,0.38492063492063494,0.4362934362934363,0.4067796610169492,0.48034934497816595,0.44144144144144143,0.5211267605633803,0.5023041474654378,0.5897435897435898
